rider,timestamp,ax,ay,az,deviation,lat,lng,speed_kmh,accuracy,road_tag
anonymous,1777117235534,0.422,-4.730,-8.975,0.3443,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235551,0.045,-5.139,-8.890,0.4585,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235567,-0.029,-5.176,-7.999,0.2823,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235584,0.605,-5.656,-7.860,0.1071,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235601,-0.751,-5.989,-7.757,0.0188,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235617,-0.813,-5.145,-8.082,0.1944,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235634,0.559,-5.112,-9.037,0.5878,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235651,0.234,-5.049,-8.993,0.5060,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235667,-0.316,-5.155,-7.888,0.3822,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235684,1.022,-5.928,-8.189,0.3507,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235701,-0.545,-5.741,-7.794,0.1145,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235717,-1.122,-5.240,-8.059,0.1320,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235734,0.853,-5.048,-8.990,0.5353,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235751,0.636,-4.571,-9.143,0.4322,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235767,-0.459,-5.407,-8.342,0.1421,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235784,1.109,-5.853,-7.772,0.0174,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235802,0.712,-5.785,-7.380,0.4056,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235816,-0.550,-5.529,-8.459,0.3109,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235834,-0.083,-5.123,-8.536,0.1453,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235851,0.587,-4.741,-8.759,0.1673,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235867,-0.742,-5.267,-8.138,0.0879,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235884,0.078,-5.107,-7.865,0.4324,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235900,2.204,-5.420,-8.111,0.1917,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235917,-1.037,-5.319,-7.402,0.6368,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235933,-0.682,-5.141,-8.184,0.1217,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235951,-0.202,-5.227,-8.506,0.1753,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235967,-0.226,-4.868,-8.404,0.0948,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117235984,0.076,-4.909,-8.407,0.0745,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117236001,0.862,-5.656,-8.293,0.2651,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117236017,-0.584,-5.660,-7.410,0.4672,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117236034,-0.399,-5.411,-7.794,0.3133,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117236050,-0.566,-5.369,-8.531,0.2860,49.107533,16.728990,0.3,2.0,unknown
anonymous,1777117236067,-0.455,-5.095,-8.684,0.2689,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236084,-0.058,-4.999,-8.437,0.0028,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236100,1.284,-4.987,-8.956,0.5205,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236117,-0.837,-5.684,-7.949,0.0025,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236134,-1.375,-5.788,-7.743,0.0453,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236151,-0.735,-5.346,-7.810,0.3166,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236167,-0.164,-5.057,-9.123,0.6221,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236184,0.029,-4.905,-8.516,0.0179,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236201,0.410,-5.088,-8.610,0.1996,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236217,-0.917,-5.865,-8.009,0.1591,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236234,-1.369,-5.677,-7.817,0.0523,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236250,-0.355,-5.355,-8.063,0.1242,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236267,-0.418,-5.179,-8.892,0.4888,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236284,-0.355,-5.134,-8.353,0.0015,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236300,0.828,-5.213,-8.657,0.3292,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236316,1.417,-5.502,-8.626,0.5192,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236334,-1.167,-5.627,-7.418,0.4267,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236351,-0.486,-5.483,-8.000,0.0991,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236367,-0.352,-5.438,-8.231,0.0618,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236384,-0.091,-5.070,-8.491,0.0798,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236401,-0.120,-5.252,-8.136,0.1254,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236417,0.104,-5.941,-8.280,0.3818,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236434,-1.387,-6.321,-7.198,0.1302,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236450,-1.161,-6.624,-7.575,0.3191,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236467,-1.122,-6.589,-7.326,0.1070,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236484,-1.243,-6.655,-7.531,0.3165,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236501,-0.616,-6.247,-7.294,0.1867,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236517,0.250,-6.074,-8.240,0.4298,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236534,-1.195,-5.748,-8.479,0.5032,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236550,-1.684,-5.767,-8.412,0.5273,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236567,-1.266,-5.553,-8.109,0.0994,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236584,-0.733,-5.344,-9.175,0.8335,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236601,-0.155,-5.102,-8.487,0.0940,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236617,0.409,-5.345,-8.727,0.4316,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236634,-0.551,-6.020,-7.614,0.0883,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236651,-0.823,-5.857,-7.253,0.4509,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236667,-0.398,-5.687,-7.852,0.1064,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236684,0.302,-5.397,-8.720,0.4494,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236701,1.001,-5.276,-7.953,0.2136,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236716,1.527,-5.752,-7.889,0.0714,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236734,1.368,-5.940,-7.572,0.0892,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236751,-0.232,-5.610,-8.082,0.0309,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236767,0.403,-5.491,-8.728,0.5099,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236784,2.716,-5.162,-8.474,0.4779,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236801,0.694,-6.217,-7.729,0.1334,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236817,0.944,-5.753,-7.558,0.2648,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236834,2.684,-5.596,-8.815,0.9708,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236851,0.237,-5.328,-7.982,0.2099,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236867,0.674,-5.215,-8.492,0.1780,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236884,2.350,-5.544,-8.177,0.3447,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236901,1.783,-5.532,-7.722,0.1446,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236917,1.500,-5.129,-7.941,0.2386,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236934,2.782,-5.054,-8.902,0.7980,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236950,1.780,-5.000,-8.195,0.0464,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236967,1.255,-5.569,-8.422,0.3645,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117236984,1.265,-5.341,-7.866,0.2184,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117237000,2.040,-5.066,-8.138,0.0093,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117237017,1.255,-5.135,-8.115,0.1250,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117237034,3.474,-5.177,-8.598,0.8102,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117237051,2.603,-5.251,-7.761,0.0844,49.107530,16.728990,0.9,2.0,unknown
anonymous,1777117237067,0.416,-5.569,-8.226,0.1327,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237084,0.883,-5.009,-8.208,0.1541,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237101,1.919,-4.966,-8.707,0.3954,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237117,1.357,-5.275,-8.211,0.0428,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237134,1.845,-5.146,-8.317,0.1426,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237151,3.254,-5.231,-8.920,1.0308,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237167,-0.723,-5.337,-7.796,0.3342,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237184,0.501,-5.397,-8.472,0.2475,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237200,1.160,-5.282,-8.574,0.3266,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237217,1.549,-5.486,-8.030,0.0376,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237234,1.188,-5.539,-8.039,0.0249,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237251,1.785,-5.639,-8.123,0.2385,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237267,-0.114,-5.395,-7.746,0.3694,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237284,0.113,-5.490,-8.257,0.1063,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237301,0.885,-5.255,-8.229,0.0065,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237317,1.290,-5.589,-7.878,0.0651,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237334,0.878,-5.472,-7.610,0.3962,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237351,1.640,-5.386,-8.283,0.2052,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237367,0.098,-5.487,-8.016,0.0954,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237384,0.444,-4.859,-8.155,0.3073,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237401,1.790,-4.257,-8.117,0.4714,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237417,1.525,-5.043,-7.760,0.4307,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237434,-1.114,-6.129,-8.595,0.8057,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237450,-0.751,-6.390,-7.337,0.0513,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237467,1.723,-5.873,-9.502,1.4928,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237486,3.059,-5.191,-7.364,0.2952,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237501,1.628,-5.618,-7.649,0.1809,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237517,-0.648,-5.973,-7.845,0.0716,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237534,-1.233,-5.243,-7.220,0.8023,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237550,0.197,-5.456,-8.554,0.3375,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237567,3.028,-5.248,-7.651,0.0506,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237584,1.313,-5.931,-8.108,0.3207,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237601,0.447,-5.874,-8.382,0.4348,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237617,-0.542,-5.359,-8.121,0.0653,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237634,0.110,-5.174,-8.583,0.2125,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237651,1.265,-4.954,-8.897,0.4519,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237667,2.369,-5.413,-7.845,0.0109,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237684,-0.053,-5.997,-7.607,0.1226,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237700,0.060,-5.752,-8.217,0.2207,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237716,1.101,-5.227,-8.813,0.4949,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237734,1.164,-5.393,-8.454,0.2847,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237751,0.344,-5.461,-8.220,0.0649,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237767,1.801,-5.455,-8.087,0.1095,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237784,1.049,-5.736,-7.879,0.0081,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237801,0.198,-5.126,-7.996,0.3101,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237817,0.643,-5.296,-8.305,0.0613,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237834,0.157,-5.579,-8.538,0.3905,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237851,0.573,-5.355,-7.810,0.3233,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237866,2.365,-5.684,-7.335,0.2336,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237884,0.933,-5.549,-7.545,0.3973,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237900,-0.549,-5.293,-8.154,0.0734,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237917,0.481,-5.064,-8.799,0.3534,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237934,0.882,-4.701,-9.169,0.5313,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237950,0.099,-5.447,-8.040,0.0981,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237968,2.014,-5.860,-7.808,0.1576,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117237984,1.890,-5.734,-7.819,0.0690,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117238001,-0.756,-5.435,-8.482,0.2924,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117238017,-0.117,-5.048,-8.689,0.2395,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117238034,0.109,-5.082,-8.421,0.0263,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117238050,0.275,-5.619,-7.823,0.1741,49.107533,16.728993,0.2,2.0,unknown
anonymous,1777117238067,2.414,-6.036,-7.778,0.3271,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238084,2.025,-6.191,-7.399,0.0472,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238101,-1.412,-6.057,-8.005,0.3267,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238117,-0.118,-5.679,-8.519,0.4292,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238134,0.690,-5.622,-9.080,0.8923,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238151,1.067,-5.951,-7.591,0.1059,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238167,1.148,-5.931,-6.937,0.6110,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238184,1.532,-6.006,-7.633,0.0225,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238201,0.398,-5.089,-8.401,0.0202,49.107532,16.728991,0.4,2.0,unknown
anonymous,1777117238217,0.238,-5.066,-8.757,0.3101,49.107532,16.728991,0.4,2.0,unknown
